,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud,Total_Servicios_Disponibles,Categoria_Poblacion
179,BUENOS AIRES,Tres Arroyos,San Mayol,63,False,False,False,False,False,True,False,False,False,6833090.0,-38.3177365227324,-60.0258421214843,1,Muy pequeña
180,CABA,COMUNA 01,SAN NICOLAS,29273,True,True,True,True,True,True,True,True,True,2000010.0,-34.6036683192305,-58.3805143256131,9,Grande
181,CABA,COMUNA 12,VILLA PUEYRREDON,39654,True,True,True,True,True,True,True,True,True,2000010.0,-34.5821104495703,-58.5034848793052,9,Grande
182,SANTA FE,San Lorenzo,Coronel Arnold,857,False,False,False,True,False,False,True,False,True,82119040.0,-33.1066175391399,-60.9665015588484,3,Pequeña
183,SANTA FE,San Lorenzo,Fuentes,2791,False,False,False,True,False,True,True,True,True,82119060.0,-33.1744416497872,-61.0750536976089,5,Mediana
184,SANTA FE,San Lorenzo,Pujato,3370,True,False,False,False,False,True,True,True,True,82119090.0,-33.0195733543103,-61.0438316490822,5,Mediana
185,BUENOS AIRES,Avellaneda,Pineyro,28102,False,True,False,True,False,False,True,True,True,6035010.0,-34.6685497926645,-58.3886029123689,5,Grande
186,BUENOS AIRES,Avellaneda,Sarandí,63281,True,True,True,True,True,True,True,True,True,6035010.0,-34.6843716640855,-58.348101313379,9,Grande
187,BUENOS AIRES,Avellaneda,Villa Domínico,61273,True,True,False,True,False,True,True,True,True,6035010.0,-34.6986315148924,-58.3363602646664,7,Grande
188,BUENOS AIRES,Avellaneda,Wilde,68624,True,True,True,True,False,True,True,True,True,6035010.0,-34.7061588356333,-58.3218349208501,8,Grande
189,BUENOS AIRES,Ayacucho,Ayacucho,17364,True,False,True,False,False,True,True,True,True,6042010.0,-37.1536695670417,-58.4895476662462,6,Grande
190,BUENOS AIRES,Ayacucho,La Constancia,49,False,False,False,False,False,True,False,False,False,6042020.0,-37.2286256057071,-58.7603890048806,1,Muy pequeña
191,BUENOS AIRES,Ayacucho,Solanet,47,False,False,False,False,False,True,False,False,True,6042030.0,-36.8444984439739,-58.5071421689017,2,Muy pequeña
192,BUENOS AIRES,Ayacucho,Udaquiola,91,False,False,False,False,True,True,False,False,False,6042040.0,-36.5637513540211,-58.5333344196536,2,Muy pequeña
193,BUENOS AIRES,Azul,16 de Julio,111,False,False,False,False,False,False,False,True,True,6049050.0,-37.2020524773603,-60.1652139181813,2,Muy pequeña
194,BUENOS AIRES,Azul,Ariel,16,False,False,False,False,False,False,False,False,True,6049010.0,-36.5312544192466,-59.9200651844348,1,Muy pequeña
